Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
2.2216e-02,0.0607813
2.2248e-02,0.0595313
2.2280e-02,0.0665625
2.2312e-02,0.0696875
2.2344e-02,0.0677344
2.2376e-02,0.066875
2.2408e-02,0.0685938
2.2440e-02,0.0663281
2.2472e-02,0.0649219
2.2504e-02,0.0661719
2.2536e-02,0.0675
2.2568e-02,0.06375
2.2600e-02,0.0671094
2.2632e-02,0.0701562
2.2664e-02,0.0675781
2.2696e-02,0.0698437
2.2728e-02,0.07
2.2760e-02,0.0699219
2.2792e-02,0.0732812
2.2824e-02,0.0725
2.2856e-02,0.0750781
2.2888e-02,0.0745312
2.2920e-02,0.0725781
2.2952e-02,0.0703125
2.2984e-02,0.0753125
2.3016e-02,0.0698437
2.3048e-02,0.0683594
2.3080e-02,0.0671094
2.3112e-02,0.0697656
2.3144e-02,0.0689062
2.3176e-02,0.0657812
2.3208e-02,0.0609375
2.3240e-02,0.0575781
2.3272e-02,0.0614062
2.3304e-02,0.0628125
2.3336e-02,0.0640625
2.3368e-02,0.0634375
2.3400e-02,0.0640625
2.3432e-02,0.0610937
2.3464e-02,0.0602344
2.3496e-02,0.0603125
2.3528e-02,0.0620312
2.3560e-02,0.0573438
2.3592e-02,0.0565625
2.3624e-02,0.0571875
2.3656e-02,0.0567187
2.3688e-02,0.0530469
2.3720e-02,0.0548437
2.3752e-02,0.0528906
2.3784e-02,0.0553125
2.3816e-02,0.0533594
2.3848e-02,0.0517188
2.3880e-02,0.0553125
2.3912e-02,0.0516406
2.3944e-02,0.0520312
2.3976e-02,0.050625
2.4008e-02,0.0534375
2.4040e-02,0.0527344
2.4072e-02,0.055
2.4104e-02,0.0547656
2.4136e-02,0.0560156
2.4168e-02,0.0544531
2.4200e-02,0.0508594
2.4232e-02,0.0499219
2.4264e-02,0.0511719
2.4296e-02,0.0523437
2.4328e-02,0.0541406
2.4360e-02,0.0571875
2.4392e-02,0.0601562
2.4424e-02,0.0585938
2.4456e-02,0.05875
2.4488e-02,0.0570312
2.4520e-02,0.0558594
2.4552e-02,0.0544531
2.4584e-02,0.0582031
2.4616e-02,0.0613281
2.4648e-02,0.0594531
2.4680e-02,0.0571094
2.4712e-02,0.0570312
2.4744e-02,0.0564844
2.4776e-02,0.0588281
2.4808e-02,0.0565625
2.4840e-02,0.056875
2.4872e-02,0.0588281
2.4904e-02,0.0598437
