Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.6224e-02,0.0221562
2.6256e-02,0.0228531
2.6288e-02,0.0222937
2.6320e-02,0.0225062
2.6352e-02,0.0212531
2.6384e-02,0.0222906
2.6416e-02,0.021825
2.6448e-02,0.0209406
2.6480e-02,0.022625
2.6512e-02,0.0232375
2.6544e-02,0.0226312
2.6576e-02,0.021875
2.6608e-02,0.0202125
2.6640e-02,0.0207219
2.6672e-02,0.0214187
2.6704e-02,0.0217187
2.6736e-02,0.0218437
2.6768e-02,0.0198937
2.6800e-02,0.0197562
2.6832e-02,0.0197969
2.6864e-02,0.0196875
2.6896e-02,0.0185719
2.6928e-02,0.0183094
2.6960e-02,0.0186875
2.6992e-02,0.01955
2.7024e-02,0.0190125
2.7056e-02,0.019175
2.7088e-02,0.0192344
2.7120e-02,0.0187719
2.7152e-02,0.0194875
2.7184e-02,0.0197469
2.7216e-02,0.0190625
2.7248e-02,0.0184
2.7280e-02,0.019
2.7312e-02,0.0182469
2.7344e-02,0.0191969
2.7376e-02,0.0192375
2.7408e-02,0.0188469
2.7440e-02,0.0192312
2.7472e-02,0.0186219
2.7504e-02,0.0174469
2.7536e-02,0.0175875
2.7568e-02,0.0184125
2.7600e-02,0.0189906
2.7632e-02,0.0189469
2.7664e-02,0.0192625
2.7696e-02,0.0192906
2.7728e-02,0.0197187
2.7760e-02,0.019575
2.7792e-02,0.0184562
2.7824e-02,0.0196781
2.7856e-02,0.0191281
2.7888e-02,0.0185937
2.7920e-02,0.0188937
2.7952e-02,0.0195062
2.7984e-02,0.0196437
2.8016e-02,0.020375
2.8048e-02,0.0205562
2.8080e-02,0.0208562
2.8112e-02,0.0199062
2.8144e-02,0.020325
2.8176e-02,0.0201437
2.8208e-02,0.0191781
2.8240e-02,0.019925
2.8272e-02,0.0196906
2.8304e-02,0.0199125
2.8336e-02,0.0194906
2.8368e-02,0.0186906
2.8400e-02,0.0193375
2.8432e-02,0.0194406
2.8464e-02,0.0211719
2.8496e-02,0.021525
2.8528e-02,0.0208906
2.8560e-02,0.0207562
2.8592e-02,0.0207812
2.8624e-02,0.0199312
2.8656e-02,0.0200344
2.8688e-02,0.0203156
2.8720e-02,0.0205687
2.8752e-02,0.0212531
2.8784e-02,0.0221781
2.8816e-02,0.0218187
2.8848e-02,0.0214719
2.8880e-02,0.0217969
2.8912e-02,0.0239594
2.8944e-02,0.0224344
2.8976e-02,0.0218562
2.9008e-02,0.0211719
2.9040e-02,0.0215969
2.9072e-02,0.0204094
2.9104e-02,0.0203906
2.9136e-02,0.0206219
2.9168e-02,0.0201219
2.9200e-02,0.0197094
2.9232e-02,0.0196625
2.9264e-02,0.0203344
2.9296e-02,0.0207844
2.9328e-02,0.020325
2.9360e-02,0.0201531
2.9392e-02,0.0209937
2.9424e-02,0.0215562
2.9456e-02,0.0221625
2.9488e-02,0.0215875
2.9520e-02,0.0207281
2.9552e-02,0.0212875
2.9584e-02,0.0222
2.9616e-02,0.0230344
2.9648e-02,0.0241281
2.9680e-02,0.0234812
2.9712e-02,0.0245
2.9744e-02,0.024675
2.9776e-02,0.0243562
2.9808e-02,0.0245812
2.9840e-02,0.0233719
2.9872e-02,0.0227969
2.9904e-02,0.0234156
2.9936e-02,0.0237656
2.9968e-02,0.0217594
3.0000e-02,0.0221437
3.0032e-02,0.0224594
3.0064e-02,0.0216
3.0096e-02,0.0215594
3.0128e-02,0.0222312
3.0160e-02,0.0223937
3.0192e-02,0.0218937
3.0224e-02,0.0226094
3.0256e-02,0.0224812
3.0288e-02,0.0228656
3.0320e-02,0.0233656
3.0352e-02,0.0231719
3.0384e-02,0.0233781
3.0416e-02,0.0224219
3.0448e-02,0.0223469
3.0480e-02,0.0230812
3.0512e-02,0.0228062
3.0544e-02,0.02305
3.0576e-02,0.0227219
3.0608e-02,0.0234375
3.0640e-02,0.023375
3.0672e-02,0.0217062
3.0704e-02,0.0216156
3.0736e-02,0.0232187
3.0768e-02,0.0233687
3.0800e-02,0.0222969
3.0832e-02,0.0214594
3.0864e-02,0.0217812
3.0896e-02,0.0223219
3.0928e-02,0.0226406
3.0960e-02,0.022625
3.0992e-02,0.0232375
3.1024e-02,0.0229937
3.1056e-02,0.0216937
3.1088e-02,0.0215031
3.1120e-02,0.0227687
3.1152e-02,0.0221562
3.1184e-02,0.0235
3.1216e-02,0.0232844
3.1248e-02,0.0250531
3.1280e-02,0.0264594
3.1312e-02,0.0264469
3.1344e-02,0.0252625
3.1376e-02,0.0261375
3.1408e-02,0.0268469
3.1440e-02,0.0267875
3.1472e-02,0.0269219
3.1504e-02,0.0277656
3.1536e-02,0.0282
3.1568e-02,0.0309219
3.1600e-02,0.0310906
3.1632e-02,0.0321187
3.1664e-02,0.0315687
3.1696e-02,0.0337656
3.1728e-02,0.0353437
3.1760e-02,0.0377344
3.1792e-02,0.0379125
3.1824e-02,0.0405156
3.1856e-02,0.0411719
3.1888e-02,0.0428875
3.1920e-02,0.0447906
3.1952e-02,0.0484
3.1984e-02,0.0525031
3.2016e-02,0.0571844
3.2048e-02,0.0618312
3.2080e-02,0.0636281
3.2112e-02,0.065375
3.2144e-02,0.0697969
3.2176e-02,0.0745156
3.2208e-02,0.0768656
3.2240e-02,0.08055
3.2272e-02,0.0832375
3.2304e-02,0.0861187
3.2336e-02,0.0885875
3.2368e-02,0.08895
3.2400e-02,0.0894437
3.2432e-02,0.0883312
3.2464e-02,0.0865406
3.2496e-02,0.0854969
3.2528e-02,0.081225
3.2560e-02,0.0781219
3.2592e-02,0.0746375
3.2624e-02,0.0704375
3.2656e-02,0.070325
3.2688e-02,0.0674062
3.2720e-02,0.0615406
3.2752e-02,0.0587687
3.2784e-02,0.0548687
3.2816e-02,0.0519844
3.2848e-02,0.0475281
3.2880e-02,0.0446656
3.2912e-02,0.0408562
3.2944e-02,0.0380125
3.2976e-02,0.034575
3.3008e-02,0.0305406
3.3040e-02,0.0303781
3.3072e-02,0.0280406
3.3104e-02,0.0262594
3.3136e-02,0.0253281
3.3168e-02,0.0252531
3.3200e-02,0.0253344
3.3232e-02,0.0258031
3.3264e-02,0.0244219
3.3296e-02,0.0245875
3.3328e-02,0.0242531
3.3360e-02,0.0244969
3.3392e-02,0.0247812
3.3424e-02,0.0239937
3.3456e-02,0.0230437
3.3488e-02,0.0242156
3.3520e-02,0.0230875
3.3552e-02,0.0230437
3.3584e-02,0.0228094
3.3616e-02,0.0236
3.3648e-02,0.0242625
3.3680e-02,0.0247469
3.3712e-02,0.0245562
3.3744e-02,0.0243
3.3776e-02,0.0253219
3.3808e-02,0.024325
3.3840e-02,0.0234219
3.3872e-02,0.0246594
3.3904e-02,0.0226406
3.3936e-02,0.0223844
3.3968e-02,0.0232469
3.4000e-02,0.0225094
3.4032e-02,0.0232531
3.4064e-02,0.0234375
3.4096e-02,0.0222219
3.4128e-02,0.0216937
3.4160e-02,0.023575
3.4192e-02,0.0257187
3.4224e-02,0.0249
3.4256e-02,0.0233937
3.4288e-02,0.0234344
3.4320e-02,0.0234187
3.4352e-02,0.0227969
3.4384e-02,0.022625
3.4416e-02,0.0221594
3.4448e-02,0.022125
3.4480e-02,0.0218875
3.4512e-02,0.0223312
3.4544e-02,0.0224844
3.4576e-02,0.0229562
3.4608e-02,0.0236844
3.4640e-02,0.0245375
3.4672e-02,0.0252844
3.4704e-02,0.025225
3.4736e-02,0.0250094
3.4768e-02,0.0244437
3.4800e-02,0.0232437
3.4832e-02,0.022275
3.4864e-02,0.0216656
3.4896e-02,0.0227781
3.4928e-02,0.0219375
3.4960e-02,0.0226781
3.4992e-02,0.0231125
3.5024e-02,0.0237969
3.5056e-02,0.0232781
3.5088e-02,0.0236812
3.5120e-02,0.0219469
3.5152e-02,0.0231562
3.5184e-02,0.0219
3.5216e-02,0.0216
3.5248e-02,0.0220844
3.5280e-02,0.0225
3.5312e-02,0.0206875
3.5344e-02,0.020525
3.5376e-02,0.0207594
3.5408e-02,0.0206469
3.5440e-02,0.0201344
3.5472e-02,0.02135
3.5504e-02,0.0217656
3.5536e-02,0.0221344
3.5568e-02,0.0212594
3.5600e-02,0.0207031
3.5632e-02,0.0212187
3.5664e-02,0.0226094
3.5696e-02,0.0220062
3.5728e-02,0.0223562
3.5760e-02,0.0222531
3.5792e-02,0.0236187
3.5824e-02,0.0236219
3.5856e-02,0.024775
3.5888e-02,0.0239469
3.5920e-02,0.0232125
3.5952e-02,0.0230562
3.5984e-02,0.0225312
3.6016e-02,0.0204937
