Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
2.2312e-02,1.645
2.2344e-02,1.48562
2.2376e-02,1.34594
2.2408e-02,1.22016
2.2440e-02,1.10406
2.2472e-02,0.997187
2.2504e-02,0.90375
2.2536e-02,0.818906
2.2568e-02,0.741719
2.2600e-02,0.682031
2.2632e-02,0.623125
2.2664e-02,0.571406
2.2696e-02,0.534531
2.2728e-02,0.506406
2.2760e-02,0.483906
2.2792e-02,0.466406
2.2824e-02,0.452031
2.2856e-02,0.450781
2.2888e-02,0.434375
2.2920e-02,0.429688
2.2952e-02,0.424844
2.2984e-02,0.431406
2.3016e-02,0.447812
2.3048e-02,0.446562
2.3080e-02,0.450625
2.3112e-02,0.461719
2.3144e-02,0.468437
2.3176e-02,0.489219
2.3208e-02,0.504687
2.3240e-02,0.514531
2.3272e-02,0.515
2.3304e-02,0.538125
2.3336e-02,0.552656
2.3368e-02,0.590469
2.3400e-02,0.605313
2.3432e-02,0.636094
2.3464e-02,0.664062
2.3496e-02,0.693437
2.3528e-02,0.717188
2.3560e-02,0.768438
2.3592e-02,0.817031
2.3624e-02,0.857344
2.3656e-02,0.890469
2.3688e-02,0.951406
2.3720e-02,1.01172
2.3752e-02,1.0475
2.3784e-02,1.11734
2.3816e-02,1.1825
2.3848e-02,1.23984
2.3880e-02,1.28641
2.3912e-02,1.33812
2.3944e-02,1.375
2.3976e-02,1.41406
2.4008e-02,1.46594
2.4040e-02,1.48656
2.4072e-02,1.51391
2.4104e-02,1.52234
2.4136e-02,1.52984
2.4168e-02,1.51172
2.4200e-02,1.51953
2.4232e-02,1.48922
2.4264e-02,1.44766
2.4296e-02,1.40594
2.4328e-02,1.35859
2.4360e-02,1.28281
2.4392e-02,1.22844
2.4424e-02,1.15219
2.4456e-02,1.08578
2.4488e-02,1.01687
2.4520e-02,0.941562
2.4552e-02,0.890469
2.4584e-02,0.827187
2.4616e-02,0.763281
2.4648e-02,0.701406
2.4680e-02,0.647656
2.4712e-02,0.593906
2.4744e-02,0.547813
2.4776e-02,0.499062
2.4808e-02,0.454687
2.4840e-02,0.424844
2.4872e-02,0.394531
2.4904e-02,0.370781
2.4936e-02,0.349219
2.4968e-02,0.330625
2.5000e-02,0.317344
2.5032e-02,0.297187
2.5064e-02,0.291875
2.5096e-02,0.295469
2.5128e-02,0.272187
2.5160e-02,0.260469
2.5192e-02,0.261875
2.5224e-02,0.2625
2.5256e-02,0.252656
2.5288e-02,0.236719
